# t Temp Pres Epot Etot
45.000000 1.997211 1.904725 -943.151223 -176.222059
45.050000 2.003551 1.618226 -967.674026 -198.310399
45.100000 2.008344 1.725480 -960.315058 -189.111060
45.150000 1.995853 2.136133 -932.167381 -165.759794
45.200000 2.007949 2.010812 -951.660274 -180.608021
45.250000 1.999640 1.701732 -975.625281 -207.763693
45.300000 2.009462 1.789641 -960.787389 -189.153858
45.350000 1.997275 1.692179 -968.208417 -201.254977
45.400000 2.012625 1.696573 -970.788274 -197.940365
45.450000 2.000788 1.805801 -956.408101 -188.105552
45.500000 1.986582 1.639690 -972.697001 -209.849462
45.550000 1.992348 1.892961 -956.143561 -191.081836
45.600000 2.005844 1.965362 -951.981055 -181.737108
45.650000 1.980154 2.271391 -924.334545 -163.955522
